"Name","PFS","Source","Traditions","Rarity","Traits","Cantrip","Focus","Level","Summary","Heightenable"
"<u><a href=""Spells.aspx?ID=3"">Acid Splash</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Spells.aspx?Tradition=1"">Arcane</a></u>, <u><a href=""Spells.aspx?Tradition=4"">Primal</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=3"">Acid</a></u>, <u><a href=""Traits.aspx?ID=15"">Attack</a></u>, <u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=65"">Evocation</a></u>","True","False","1","You splash a glob of acid that splatters your target and nearby creatures.","True"
"<u><a href=""Spells.aspx?ID=864"">Approximate</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Spells.aspx?Tradition=1"">Arcane</a></u>, <u><a href=""Spells.aspx?Tradition=2"">Divine</a></u>, <u><a href=""Spells.aspx?Tradition=3"">Occult</a></u>, <u><a href=""Spells.aspx?Tradition=4"">Primal</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=43"">Detection</a></u>, <u><a href=""Traits.aspx?ID=47"">Divination</a></u>","True","False","1","Magically estimate the number of nearby objects.","False"
"<u><a href=""Spells.aspx?ID=1045"">Boost Eidolon</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","Focus","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=392"">Summoner</a></u>","True","True","1","You focus deeply on the link between you and your eidolon and boost the power of your eidolon's attacks.","False"
"<u><a href=""Spells.aspx?ID=877"">Bullhorn</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Spells.aspx?Tradition=1"">Arcane</a></u>, <u><a href=""Spells.aspx?Tradition=2"">Divine</a></u>, <u><a href=""Spells.aspx?Tradition=3"">Occult</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=16"">Auditory</a></u>, <u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=92"">Illusion</a></u>","True","False","1","Magnify your voice to be heard at a distance.","True"
"<u><a href=""Spells.aspx?ID=1089"">Buzzing Bites</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=107"" title=""Monsters of Myth"">Monsters of Myth</a></u>","Focus","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","<u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=324"">Hex</a></u>, <u><a href=""Traits.aspx?ID=323"">Witch</a></u>","True","True","1","You evoke buzzing and crawling insects to climb onto a foe's body and bite.","True"
"<u><a href=""Spells.aspx?ID=35"">Chill Touch</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Spells.aspx?Tradition=1"">Arcane</a></u>, <u><a href=""Spells.aspx?Tradition=2"">Divine</a></u>, <u><a href=""Spells.aspx?Tradition=3"">Occult</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=117"">Necromancy</a></u>, <u><a href=""Traits.aspx?ID=118"">Negative</a></u>","True","False","1","Your touch hurts the living or disorients undead.","True"
"<u><a href=""Spells.aspx?ID=793"">Clinging Ice</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","Focus","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=27"">Cold</a></u>, <u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=324"">Hex</a></u>, <u><a href=""Traits.aspx?ID=323"">Witch</a></u>","True","True","1","Freezing sleet and heavy snowfall collect on the target's feet and legs, dealing 1d4 cold damage and other effects depending on its Reflex save.","True"
"<u><a href=""Spells.aspx?ID=58"">Dancing Lights</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Spells.aspx?Tradition=1"">Arcane</a></u>, <u><a href=""Spells.aspx?Tradition=3"">Occult</a></u>, <u><a href=""Spells.aspx?Tradition=4"">Primal</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=100"">Light</a></u>","True","False","1","Create four floating lights you can move.","False"
"<u><a href=""Spells.aspx?ID=61"">Daze</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Spells.aspx?Tradition=1"">Arcane</a></u>, <u><a href=""Spells.aspx?Tradition=2"">Divine</a></u>, <u><a href=""Spells.aspx?Tradition=3"">Occult</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=106"">Mental</a></u>, <u><a href=""Traits.aspx?ID=188"">Nonlethal</a></u>","True","False","1","Damage a creature's mind and possibly stun it.","True"
"<u><a href=""Spells.aspx?ID=66"">Detect Magic</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Spells.aspx?Tradition=1"">Arcane</a></u>, <u><a href=""Spells.aspx?Tradition=2"">Divine</a></u>, <u><a href=""Spells.aspx?Tradition=3"">Occult</a></u>, <u><a href=""Spells.aspx?Tradition=4"">Primal</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=22"">Cantrip</a></u>, <u><a href=""Traits.aspx?ID=43"">Detection</a></u>, <u><a href=""Traits.aspx?ID=47"">Divination</a></u>","True","False","1","Sense whether magic is nearby.","True"
